2026-02-26 14:17:30,053 - INFO - Лог-файл этой симуляции: logs\sim_20260226_141730.log
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:30,054 - INFO - НАЧАЛО СИМУЛЯЦИИ
2026-02-26 14:17:30,054 - INFO - Режим: random
2026-02-26 14:17:30,054 - INFO - Модуляция: PSK-8, Код Грея: False
2026-02-26 14:17:30,054 - INFO - Кодирование: отключено
2026-02-26 14:17:30,054 - INFO - Диапазон Eb/N0: 0.0..10.0 дБ, шаг 1.0
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:35,115 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=45122 | BER=4.512e-01 | SER=7.900e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:35,432 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=41935 | BER=4.194e-01 | SER=7.304e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:35,744 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=39329 | BER=3.933e-01 | SER=6.896e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:36,059 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=43220 | BER=4.322e-01 | SER=7.551e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:36,375 - INFO - Eb/N0=3.00 dB | Es/N0=7.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=37581 | BER=3.758e-01 | SER=6.569e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:36,689 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=38439 | BER=3.844e-01 | SER=6.719e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:37,005 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=41106 | BER=4.111e-01 | SER=7.188e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:37,315 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=37150 | BER=3.715e-01 | SER=6.503e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:37,643 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=39634 | BER=3.963e-01 | SER=6.951e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:37,958 - INFO - Eb/N0=4.00 dB | Es/N0=8.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=42762 | BER=4.276e-01 | SER=7.490e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:38,269 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=38059 | BER=3.806e-01 | SER=6.632e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:38,584 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=37123 | BER=3.712e-01 | SER=6.478e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:38,912 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=35528 | BER=3.553e-01 | SER=6.222e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:39,236 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=36830 | BER=3.683e-01 | SER=6.451e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:39,550 - INFO - Eb/N0=5.00 dB | Es/N0=9.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=44876 | BER=4.488e-01 | SER=7.893e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:39,875 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=34432 | BER=3.443e-01 | SER=6.050e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:40,198 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=35052 | BER=3.505e-01 | SER=6.110e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:40,513 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=26973 | BER=2.697e-01 | SER=4.704e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:40,824 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=26783 | BER=2.678e-01 | SER=4.641e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:41,140 - INFO - Eb/N0=6.00 dB | Es/N0=10.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=31026 | BER=3.103e-01 | SER=5.402e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:41,457 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=36665 | BER=3.666e-01 | SER=6.379e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:41,768 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=23125 | BER=2.313e-01 | SER=4.000e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:42,080 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=35793 | BER=3.579e-01 | SER=6.353e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:42,393 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=27088 | BER=2.709e-01 | SER=4.719e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:42,706 - INFO - Eb/N0=7.00 dB | Es/N0=11.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=19555 | BER=1.956e-01 | SER=3.383e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:43,019 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=20856 | BER=2.086e-01 | SER=3.585e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:43,339 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=39750 | BER=3.975e-01 | SER=6.960e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:43,647 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=20699 | BER=2.070e-01 | SER=3.562e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:43,959 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=27422 | BER=2.742e-01 | SER=4.804e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:44,271 - INFO - Eb/N0=8.00 dB | Es/N0=12.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=36342 | BER=3.634e-01 | SER=6.375e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:44,585 - INFO - Eb/N0=9.00 dB | Es/N0=13.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=34560 | BER=3.456e-01 | SER=6.037e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:44,895 - INFO - Eb/N0=9.00 dB | Es/N0=13.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=18467 | BER=1.847e-01 | SER=3.212e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:45,208 - INFO - Eb/N0=9.00 dB | Es/N0=13.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=6745 | BER=6.745e-02 | SER=1.176e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
